Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      57.91
8                      66.05
16                     81.32
32                     86.79
64                     78.70
128                    86.65
256                    85.48
512                    84.57
1024                   86.50
2048                   99.44
4096                  203.30
8192                  127.66
16384                 266.00
32768                 301.84
65536                 397.21
131072                970.96
262144               1449.22
524288               2259.99
1048576              4152.98
