Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     109.61
8                     110.33
16                    107.95
32                    108.45
64                    107.75
128                    99.93
256                   101.38
512                   104.60
1024                  112.34
2048                  124.76
4096                  237.49
8192                  163.61
16384                 319.80
32768                 404.46
65536                 495.81
131072               1073.39
262144               1282.45
524288               1720.11
1048576              2413.05
