Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      64.09
8                      60.16
16                     79.44
32                     78.55
64                     87.49
128                    80.01
256                    87.25
512                    89.30
1024                   91.66
2048                   89.85
4096                  174.15
8192                  127.44
16384                 248.67
32768                 313.81
65536                 382.45
131072                976.76
262144               1423.12
524288               2295.21
1048576              4118.61
