Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      68.56
8                      67.57
16                     68.21
32                     69.14
64                     70.60
128                    71.61
256                    79.30
512                    75.12
1024                   93.89
2048                  111.19
4096                  229.20
8192                  158.03
16384                 297.36
32768                 357.72
65536                 435.28
131072               1473.02
262144               1182.89
524288               1648.99
1048576              2468.32
