Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      58.73
8                      71.49
16                     75.96
32                     80.40
64                     75.84
128                    75.63
256                    72.82
512                    68.85
1024                   88.56
2048                   95.49
4096                  205.01
8192                  133.60
16384                 265.87
32768                 313.08
65536                 379.89
131072                929.34
262144               1073.60
524288               1508.14
1048576              2423.25
