Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      66.20
8                      65.16
16                     66.98
32                     68.48
64                     67.96
128                    68.55
256                    72.39
512                    73.95
1024                   82.91
2048                   94.60
4096                  191.60
8192                  132.82
16384                 287.18
32768                 328.83
65536                 376.45
131072                745.68
262144               1372.55
524288               1954.87
1048576              2189.42
