Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      61.48
8                      61.35
16                     57.85
32                     58.78
64                     58.35
128                    58.87
256                    59.15
512                    62.08
1024                   69.80
2048                   77.36
4096                  155.58
8192                  114.82
16384                 228.42
32768                 297.09
65536                 335.04
131072                738.28
262144                875.08
524288               1210.12
1048576              1874.75
