Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      75.71
8                      67.64
16                     69.13
32                     71.18
64                     71.87
128                    71.85
256                    75.23
512                    78.52
1024                   87.11
2048                   98.06
4096                  197.54
8192                  136.05
16384                 288.51
32768                 323.37
65536                 390.07
131072                848.44
262144               1091.92
524288               1422.50
1048576              2105.25
