Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      58.01
8                      57.39
16                     55.30
32                     64.06
64                     77.42
128                    74.58
256                    77.40
512                    79.45
1024                   81.73
2048                  104.86
4096                  211.04
8192                  132.74
16384                 266.62
32768                 308.97
65536                 368.63
131072                915.46
262144               1068.07
524288               1447.25
1048576              1872.82
