Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     165.00
8                     168.78
16                    163.79
32                    171.42
64                    165.69
128                   164.54
256                   175.19
512                   176.25
1024                  186.22
2048                  214.02
4096                  231.08
8192                  455.81
16384                 516.87
32768                 615.50
65536                 743.32
131072               1392.03
262144               2510.49
524288               3524.26
1048576              5813.92
