Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     192.75
8                     181.97
16                    194.83
32                    195.96
64                    177.94
128                   184.62
256                   195.34
512                   198.76
1024                  192.40
2048                  211.05
4096                  228.14
8192                  519.98
16384                 577.82
32768                 703.04
65536                 842.29
131072               1484.81
262144               2307.03
524288               3338.73
1048576              5490.21
