Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     149.36
8                     161.32
16                    158.40
32                    162.11
64                    162.25
128                   159.72
256                   162.91
512                   169.20
1024                  179.05
2048                  208.32
4096                  233.33
8192                  453.08
16384                 517.25
32768                 618.82
65536                 743.46
131072               1333.89
262144               2465.18
524288               3631.36
1048576              5779.12
