Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     124.25
8                     124.48
16                    120.23
32                    130.34
64                    141.83
128                   142.72
256                   147.45
512                   156.81
1024                  171.02
2048                  208.77
4096                  221.58
8192                  402.94
16384                 471.49
32768                 530.18
65536                 649.05
131072               1226.80
262144               2301.56
524288               3280.38
1048576              5506.09
