Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     157.52
8                     159.47
16                    158.18
32                    163.59
64                    165.63
128                   163.69
256                   168.84
512                   172.31
1024                  181.53
2048                  199.61
4096                  227.27
8192                  433.00
16384                 511.37
32768                 623.95
65536                 736.90
131072               1217.06
262144               2274.27
524288               3025.81
1048576              4409.72
