Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     132.27
8                     133.72
16                    134.65
32                    138.02
64                    140.28
128                   140.90
256                   145.36
512                   146.68
1024                  161.65
2048                  192.13
4096                  216.68
8192                  431.92
16384                 486.05
32768                 558.68
65536                 692.48
131072               1293.52
262144               2615.00
524288               3895.99
1048576              6514.46
