Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     152.62
8                     155.07
16                    155.15
32                    157.65
64                    160.37
128                   159.86
256                   168.34
512                   186.35
1024                  185.67
2048                  213.27
4096                  245.19
8192                  455.60
16384                 552.59
32768                 610.08
65536                 719.33
131072               1287.61
262144               2503.29
524288               3745.36
1048576              6180.73
