Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     253.13
8                     260.86
16                    275.04
32                    283.23
64                    282.28
128                   286.03
256                   284.64
512                   296.86
1024                  293.10
2048                  302.04
4096                  339.70
8192                  645.68
16384                 739.44
32768                 884.62
65536                1362.95
131072               1939.88
262144               3018.18
524288               4830.97
1048576              6910.65
