Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      69.84
2                      85.68
4                      83.00
8                      87.24
16                     88.67
32                     91.12
64                     95.95
128                    94.90
256                    97.21
512                    99.61
1024                   94.20
2048                  108.29
4096                  138.28
8192                  141.29
16384                 176.33
32768                 210.79
65536                 481.77
131072                575.56
262144                887.57
524288               1346.81
1048576              2309.53
