Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      54.94
2                      58.90
4                      55.96
8                      59.16
16                     56.34
32                     56.13
64                     56.21
128                    56.96
256                    57.91
512                    60.10
1024                   63.48
2048                   78.91
4096                  107.01
8192                  116.34
16384                 139.89
32768                 161.84
65536                 326.91
131072                419.55
262144                710.02
524288               1074.50
1048576              1860.19
