Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      67.10
2                      67.79
4                      68.27
8                      67.29
16                     69.97
32                     70.37
64                     70.73
128                    70.15
256                    72.50
512                    74.53
1024                   83.72
2048                   98.14
4096                  104.86
8192                  130.48
16384                 163.03
32768                 189.98
65536                 385.36
131072                492.37
262144                884.13
524288               1327.02
1048576              2423.26
