Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      60.23
2                      71.31
4                      89.12
8                      78.62
16                     90.49
32                     78.72
64                     75.95
128                    75.30
256                    88.67
512                    92.38
1024                   87.03
2048                   86.35
4096                   96.41
8192                  124.17
16384                 156.85
32768                 193.45
65536                 432.57
131072                502.39
262144                829.48
524288               1222.55
1048576              2208.72
