Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      69.78
2                      69.68
4                      67.97
8                      70.84
16                     69.20
32                     69.78
64                     68.55
128                    68.84
256                    73.66
512                    73.08
1024                   79.66
2048                  107.86
4096                  109.81
8192                  137.64
16384                 155.86
32768                 189.74
65536                 369.88
131072                523.93
262144                807.66
524288               1200.64
1048576              2083.36
