Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                      60.01
2                      62.58
4                      59.52
8                      80.86
16                     85.12
32                     80.48
64                     86.46
128                    82.84
256                    83.50
512                    85.46
1024                   88.44
2048                  101.71
4096                  113.23
8192                  127.94
16384                 157.40
32768                 192.76
65536                 515.83
131072                772.83
262144               1456.96
524288               2655.54
1048576              4936.38
