Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     110.70
2                     121.29
4                     126.51
8                     124.79
16                    124.71
32                    124.20
64                    126.29
128                   126.57
256                   125.54
512                   130.22
1024                  138.18
2048                  150.45
4096                  153.49
8192                  169.74
16384                 221.28
32768                 289.51
65536                 644.16
131072                921.84
262144               1419.81
524288               3529.10
1048576              9741.76
