Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     124.84
2                     132.49
4                     136.21
8                     133.72
16                    132.03
32                    133.47
64                    133.19
128                   133.46
256                   135.98
512                   141.20
1024                  149.57
2048                  159.71
4096                  174.04
8192                  202.20
16384                 241.38
32768                 310.68
65536                 670.73
131072                988.27
262144               1560.83
524288               5221.73
1048576              6498.18
