Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     137.81
2                     141.21
4                     140.02
8                     140.98
16                    137.49
32                    135.62
64                    135.71
128                   140.78
256                   130.42
512                   130.57
1024                  146.96
2048                  159.04
4096                  169.81
8192                  201.36
16384                 234.16
32768                 329.55
65536                 796.17
131072               1276.14
262144               2240.63
524288               5837.70
1048576              8373.25
