Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     123.99
2                     129.20
4                     131.37
8                     129.58
16                    138.71
32                    128.41
64                    127.85
128                   128.08
256                   139.79
512                   140.06
1024                  145.85
2048                  164.07
4096                  180.36
8192                  198.21
16384                 241.81
32768                 298.29
65536                 725.47
131072               1027.37
262144               1713.81
524288               5720.99
1048576              7233.50
