Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     127.13
2                     135.13
4                     134.57
8                     135.01
16                    148.56
32                    136.48
64                    137.39
128                   144.13
256                   138.61
512                   144.16
1024                  152.33
2048                  164.97
4096                  178.31
8192                  204.28
16384                 235.33
32768                 288.35
65536                 693.05
131072                848.14
262144               1251.92
524288               3287.18
1048576              6811.71
