Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.8
# Size       Avg Latency(us)
1                     133.90
2                     137.88
4                     136.62
8                     138.56
16                    139.92
32                    135.17
64                    133.98
128                   137.50
256                   141.03
512                   145.08
1024                  158.34
2048                  183.12
4096                  203.43
8192                  225.69
16384                 258.15
32768                 345.97
65536                 875.12
131072               1356.96
262144               2328.73
524288               5320.99
1048576              8405.87
