Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      20.13
8                      17.42
16                     17.61
32                     17.93
64                     17.97
128                    18.67
256                    19.65
512                    19.54
1024                   18.61
2048                   21.20
4096                   39.90
8192                   25.04
16384                  45.60
32768                  69.71
65536                 114.53
131072                211.02
262144                284.03
524288                421.24
1048576               694.03
