Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      20.87
8                      20.60
16                     20.56
32                     21.75
64                     28.36
128                    35.56
256                    22.90
512                    21.91
1024                   22.39
2048                   23.20
4096                   44.57
8192                   25.67
16384                  44.99
32768                  75.56
65536                 157.11
131072                306.05
262144                384.01
524288                496.06
1048576               703.54
