Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      19.63
8                      18.19
16                     20.32
32                     18.49
64                     18.53
128                    19.59
256                    19.11
512                    18.99
1024                   19.29
2048                   20.27
4096                   39.49
8192                   25.76
16384                  61.28
32768                  71.05
65536                 109.37
131072                217.72
262144                279.61
524288                411.23
1048576               733.16
