Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      18.44
8                      18.51
16                     18.09
32                     18.85
64                     19.11
128                    19.38
256                    18.63
512                    18.71
1024                   18.99
2048                   21.01
4096                   41.87
8192                   23.72
16384                  45.30
32768                  76.44
65536                  98.32
131072                212.07
262144                293.05
524288                424.43
1048576               811.81
