Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      61.71
8                      73.99
16                     85.01
32                     87.32
64                     87.57
128                    88.68
256                    89.07
512                    74.24
1024                   89.81
2048                   91.36
4096                  140.77
8192                  102.42
16384                 204.82
32768                 177.18
65536                 232.26
131072                328.40
262144               1101.95
524288               1474.97
1048576              2625.34
