Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      73.02
8                      72.91
16                     77.82
32                     75.94
64                     74.75
128                    75.42
256                    76.82
512                    62.87
1024                  116.42
2048                   77.74
4096                  184.51
8192                   99.07
16384                 227.40
32768                 410.69
65536                 523.20
131072                356.60
262144               1030.91
524288               1520.71
1048576              2413.28
