Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      85.95
8                      88.93
16                     85.05
32                     87.87
64                     87.91
128                    88.87
256                    89.11
512                    76.20
1024                   88.61
2048                   91.34
4096                  126.18
8192                  104.07
16384                 151.74
32768                 232.76
65536                 294.35
131072                300.34
262144               1054.45
524288               1513.85
1048576              2590.35
