Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                      85.37
8                      88.43
16                     84.22
32                     86.71
64                     86.89
128                    87.92
256                   100.17
512                    77.07
1024                   88.47
2048                   91.53
4096                  122.93
8192                  102.70
16384                 144.13
32768                 201.17
65536                 249.96
131072                331.72
262144                990.25
524288               1437.86
1048576              2401.37
