Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                     362.62
8                     787.15
16                    353.09
32                    351.64
64                    380.96
128                   485.09
256                   377.62
512                   394.21
1024                  374.33
2048                  451.37
4096                  370.57
8192                  673.27
16384                 741.30
32768                 967.51
65536                1154.87
131072               1916.66
262144               3063.16
524288               3693.01
1048576              5775.77
