Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                     399.69
8                     355.53
16                    481.81
32                    331.56
64                    326.96
128                   327.56
256                   351.75
512                   348.16
1024                  347.22
2048                  359.34
4096                  386.09
8192                  683.92
16384                 708.81
32768                 864.20
65536                1007.02
131072               2006.29
262144               3508.11
524288               4181.31
1048576              5169.99
