Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                     362.16
8                     376.14
16                    351.46
32                    421.44
64                    412.05
128                   370.17
256                   362.22
512                   370.31
1024                  360.67
2048                  370.22
4096                  378.12
8192                  751.76
16384                 674.08
32768                 792.76
65536                 899.95
131072               1820.34
262144               3469.67
524288               4136.44
1048576              6306.49
