Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.6.3
# Size       Avg Latency(us)
4                     484.22
8                     361.95
16                    348.86
32                    370.58
64                    477.80
128                   406.06
256                   357.21
512                   337.96
1024                  353.11
2048                  365.52
4096                  365.43
8192                  948.04
16384                 798.46
32768                 823.60
65536                 884.31
131072               1758.27
262144               3041.91
524288               3773.57
1048576              5255.88
