Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      17.68
2                      17.49
4                      17.44
8                      17.77
16                     20.04
32                     17.39
64                     17.72
128                    22.72
256                    18.38
512                    22.04
1024                   18.95
2048                   19.31
4096                   19.43
8192                   21.91
16384                  31.89
32768                  44.99
65536                  98.15
131072                141.00
262144                188.38
524288                307.11
1048576               535.66
