Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      18.09
2                      18.20
4                      17.57
8                      18.20
16                     18.13
32                     17.58
64                     18.21
128                    18.43
256                    18.42
512                    17.93
1024                   22.52
2048                   24.61
4096                   28.46
8192                   22.65
16384                  31.82
32768                  44.94
65536                 104.07
131072                135.71
262144                191.01
524288                310.21
1048576               554.09
