Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      18.68
2                      17.55
4                      17.47
8                      17.35
16                     19.17
32                     17.58
64                     18.57
128                    18.18
256                    18.58
512                    18.21
1024                   18.09
2048                   18.17
4096                   19.46
8192                   32.25
16384                  47.70
32768                  67.16
65536                 134.00
131072                164.76
262144                193.33
524288                301.66
1048576               551.84
