Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      21.13
2                      18.59
4                      17.58
8                      17.90
16                     18.34
32                     18.68
64                     17.91
128                    19.52
256                    19.23
512                    19.05
1024                   18.10
2048                   19.60
4096                   20.73
8192                   22.24
16384                  32.16
32768                  44.69
65536                  98.04
131072                135.19
262144                188.12
524288                327.74
1048576               545.54
