Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      21.54
2                      17.47
4                      17.52
8                      18.48
16                     18.19
32                     23.76
64                     20.28
128                    19.98
256                    19.77
512                    19.00
1024                   19.63
2048                   37.29
4096                   20.74
8192                   22.29
16384                  33.79
32768                  47.54
65536                 112.01
131072                139.88
262144                242.43
524288                435.05
1048576               758.64
