Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      50.41
2                      50.28
4                      50.49
8                      49.73
16                     51.68
32                     51.62
64                     50.30
128                    50.53
256                    50.37
512                    49.56
1024                   49.24
2048                   50.56
4096                   53.58
8192                   58.25
16384                  89.44
32768                 119.10
65536                 287.47
131072                380.73
262144                529.18
524288                952.28
1048576              1778.96
