Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                      50.90
2                      51.80
4                      48.85
8                      49.29
16                     47.02
32                     42.03
64                     42.00
128                    56.98
256                    55.09
512                    61.07
1024                   50.56
2048                   45.61
4096                   48.22
8192                   52.24
16384                  74.29
32768                 125.69
65536                 247.67
131072                324.65
262144                481.79
524288                973.13
1048576              1752.37
