Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                     325.59
2                     342.04
4                     387.59
8                     359.54
16                    399.13
32                    678.76
64                    539.61
128                   331.83
256                   320.34
512                   328.92
1024                  391.25
2048                  360.70
4096                  379.95
8192                  795.19
16384                 514.00
32768                 555.22
65536                1220.11
131072               1407.92
262144               1875.29
524288               4470.01
1048576             12079.10
