Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                     356.94
2                     366.84
4                     354.47
8                     354.30
16                    363.08
32                    388.09
64                    442.80
128                   404.88
256                   353.01
512                   357.72
1024                  379.06
2048                  349.88
4096                  357.33
8192                  388.72
16384                 446.33
32768                 511.82
65536                1083.93
131072               1327.27
262144               2006.52
524288               4952.92
1048576             15425.68
