Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                     324.78
2                     328.33
4                     353.29
8                     354.51
16                    398.91
32                    762.42
64                    436.67
128                   342.95
256                   347.36
512                   366.44
1024                  342.91
2048                  359.92
4096                  377.17
8192                  423.72
16384                 424.45
32768                 504.64
65536                1245.00
131072               1411.03
262144               1877.55
524288               4835.32
1048576             14708.46
