Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI All-to-All Personalized Exchange Latency Test v5.6.3
# Size       Avg Latency(us)
1                     353.73
2                     370.57
4                     365.42
8                     359.24
16                    355.00
32                    353.42
64                    379.48
128                   368.60
256                   356.54
512                   364.79
1024                  382.06
2048                  360.59
4096                  376.99
8192                  407.19
16384                 609.66
32768                 520.38
65536                1102.53
131072               1292.73
262144               2285.34
524288               4642.53
1048576             13316.77
