Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      35.78
8                      36.04
16                     38.67
32                     38.92
64                     42.06
128                    43.35
256                    42.92
512                    43.70
1024                   43.92
2048                   47.75
4096                  104.21
8192                   59.15
16384                 116.14
32768                 150.13
65536                 227.73
131072                520.58
262144                724.89
524288               1118.04
1048576              1826.94
