Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      42.29
8                      42.61
16                     42.31
32                     42.36
64                     45.32
128                    45.80
256                    45.76
512                    46.75
1024                   47.94
2048                   51.31
4096                  105.37
8192                   61.59
16384                 129.56
32768                 177.51
65536                 235.19
131072                572.45
262144                820.89
524288               1150.46
1048576              2159.83
