Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      36.65
8                      36.81
16                     37.20
32                     40.80
64                     43.49
128                    44.73
256                    45.49
512                    46.43
1024                   47.02
2048                   50.05
4096                  105.99
8192                   61.31
16384                 127.72
32768                 165.31
65536                 235.22
131072                477.84
262144                627.75
524288                982.12
1048576              2082.71
