Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     175.99
8                     177.41
16                    175.46
32                    175.13
64                    172.60
128                   174.24
256                   174.91
512                   173.64
1024                  175.90
2048                  183.94
4096                  366.76
8192                  191.98
16384                 385.26
32768                 427.56
65536                 472.86
131072               1253.11
262144               1384.64
524288               1748.49
1048576              2310.44
