Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      37.39
8                      37.97
16                     37.93
32                     37.58
64                     39.36
128                    40.54
256                    40.28
512                    44.04
1024                   42.14
2048                   44.13
4096                   99.68
8192                   54.70
16384                 121.67
32768                 153.21
65536                 196.20
131072                458.23
262144                601.40
524288                910.08
1048576              1740.78
