Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     293.28
8                     292.11
16                    351.38
32                    320.84
64                    296.36
128                   296.71
256                   298.61
512                   297.04
1024                  296.79
2048                  291.21
4096                  587.94
8192                  319.16
16384                 628.23
32768                 699.07
65536                 783.97
131072                916.47
262144               2788.48
524288               3684.01
1048576              5393.24
