Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     104.72
8                     102.45
16                    109.37
32                    109.23
64                    112.58
128                   114.08
256                   114.76
512                   114.23
1024                  115.20
2048                  118.67
4096                  215.47
8192                  146.51
16384                 257.83
32768                 323.67
65536                 366.69
131072                469.71
262144               1897.72
524288               2837.46
1048576              4619.97
