Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                      96.94
8                     100.02
16                    100.73
32                     99.61
64                    106.42
128                   109.93
256                   109.31
512                   106.76
1024                  102.84
2048                  110.76
4096                  221.90
8192                  135.17
16384                 255.95
32768                 318.10
65536                 360.56
131072                455.92
262144               1867.68
524288               2813.42
1048576              4398.86
