Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     288.33
8                     291.06
16                    367.51
32                    292.40
64                    332.81
128                   291.03
256                   321.83
512                   284.28
1024                  285.21
2048                  290.10
4096                  589.92
8192                  322.64
16384                 631.53
32768                 712.49
65536                 770.28
131072                893.02
262144               4139.28
524288               3934.66
1048576              5547.04
