Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     103.58
8                     104.18
16                    102.77
32                    102.56
64                    104.07
128                   107.78
256                   108.30
512                   105.17
1024                  104.39
2048                  109.91
4096                  217.24
8192                  136.48
16384                 263.43
32768                 334.64
65536                 370.39
131072                505.79
262144               1908.32
524288               2979.08
1048576              4544.09
