Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     226.28
8                     228.51
16                    224.53
32                    223.95
64                    231.69
128                   235.26
256                   237.10
512                   236.93
1024                  239.25
2048                  244.53
4096                  255.09
8192                  597.12
16384                 617.58
32768                 683.86
65536                 763.94
131072               1563.74
262144               2653.52
524288               3210.97
1048576              4246.89
