Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).
Failed to add the host to the list of known hosts (/root/.ssh/known_hosts).

# OSU MPI Allreduce Latency Test v5.8
# Size       Avg Latency(us)
4                     286.39
8                     289.61
16                    288.85
32                    284.26
64                    293.68
128                   296.50
256                   291.96
512                   292.49
1024                  294.27
2048                  299.33
4096                  305.38
8192                  539.17
16384                 570.59
32768                 644.29
65536                 756.34
131072               1537.39
262144               2721.47
524288               3330.39
1048576              4614.40
